,county,district_name,instruction,support,community,other,sum,year
647,All Funds,,48.4 ,51.6 ,0.0 ,0.0 ,100.0 ,2012
648,WELD,WELD RE-1,,,,,,2012
649,Amount,,"9,760,479","6,686,045","15,669","7,513","16,469,706",2012
650,Per Pupil,,"5,398","3,697",9,4,"9,108",2012
651,All Funds,,59.3 ,40.6 ,0.1 ,0.0 ,100.0 ,2012
652,WELD,EATON RE-2,,,,,,2012
653,Amount,,"8,293,448","4,996,910",750,"1,626,534","14,917,642",2012
654,Per Pupil,,"4,645","2,799",0,911,"8,355",2012
655,All Funds,,55.6 ,33.5 ,0.0 ,10.9 ,100.0 ,2012
656,WELD,KEENESBURG RE-3(J),,,,,,2012
657,Amount,,"10,622,046","9,074,106","7,631","14,713,779","34,417,562",2012
658,Per Pupil,,"4,959","4,236",4,"6,869","16,068",2012
659,All Funds,,30.9 ,26.4 ,0.0 ,42.8 ,100.0 ,2012
660,WELD,WINDSOR RE-4,,,,,,2012
661,Amount,,"21,143,929","15,019,541",167,"7,773,752","43,937,389",2012
662,Per Pupil,,"4,719","3,352",0,"1,735","9,805",2012
663,All Funds,,48.1 ,34.2 ,0.0 ,17.7 ,100.0 ,2012
664,WELD,JOHNSTOWN-MILIKEN RE-5J,,,,,,2012
665,Amount,,"15,869,368","9,017,357",0,"2,305,170","27,191,895",2012
666,Per Pupil,,"5,020","2,852",0,729,"8,601",2012
667,All Funds,,58.4 ,33.2 ,0.0 ,8.5 ,100.0 ,2012
668,WELD,GREELEY 6,,,,,,2012
669,Amount,,"98,098,896","67,472,364",0,"12,967,190","178,538,450",2012
670,Per Pupil,,"5,100","3,508",0,674,"9,282",2012
671,All Funds,,54.9 ,37.8 ,0.0 ,7.3 ,100.0 ,2012
672,WELD,PLATTE VALLEY RE-7,,,,,,2012
673,Amount,,"6,308,055","4,611,192",0,"4,322,465","15,241,712",2012
674,Per Pupil,,"5,786","4,229",0,"3,964","13,979",2012
675,All Funds,,41.4 ,30.3 ,0.0 ,28.4 ,100.0 ,2012
676,WELD,WELD COUNTY S/D RE-8,,,,,,2012
677,Amount,,"12,156,707","10,774,643","13,632","1,157,088","24,102,071",2012
678,Per Pupil,,"5,413","4,797",6,515,"10,731",2012
679,All Funds,,50.4 ,44.7 ,0.1 ,4.8 ,100.0 ,2012
680,WELD,AULT-HIGHLAND RE-9,,,,,,2012
681,Amount,,"4,213,289","3,346,190",0,"499,243","8,058,723",2012
682,Per Pupil,,"5,165","4,102",0,612,"9,880",2012
683,All Funds,,52.3 ,41.5 ,0.0 ,6.2 ,100.0 ,2012
684,WELD,BRIGGSDALE RE-10,,,,,,2012
685,Amount,,"1,244,008","1,027,940",0,"412,500","2,684,447",2012
686,Per Pupil,,"8,141","6,727",0,"2,700","17,568",2012
687,All Funds,,46.3 ,38.3 ,0.0 ,15.4 ,100.0 ,2012
688,WELD,PRAIRIE RE-11,,,,,,2012
689,Amount,,"1,239,597","863,609",0,"257,106","2,360,312",2012
690,Per Pupil,,"7,258","5,056",0,"1,505","13,819",2012
691,All Funds,,52.5 ,36.6 ,0.0 ,10.9 ,100.0 ,2012
692,WELD,PAWNEE RE-12,,,,,,2012
693,Amount,,"1,088,832","755,669",0,"59,093","1,903,594",2012
694,Per Pupil,,"12,444","8,636",0,675,"21,755",2012
695,All Funds,,57.2 ,39.7 ,0.0 ,3.1 ,100.0 ,2012
696,YUMA,YUMA 1,,,,,,2012
697,Amount,,"4,767,616","3,060,117",0,"761,281","8,589,015",2012
698,Per Pupil,,"6,156","3,951",0,983,"11,090",2012
699,All Funds,,55.5 ,35.6 ,0.0 ,8.9 ,100.0 ,2012
700,YUMA,WRAY RD-2,,,,,,2012
701,Amount,,"3,933,428","2,857,350",0,"6,011,673","12,802,451",2012
702,Per Pupil,,"5,749","4,176",0,"8,786","18,712",2012
703,All Funds,,30.7 ,22.3 ,0.0 ,47.0 ,100.0 ,2012
704,YUMA,IDALIA RJ-3,,,,,,2012
705,Amount,,"1,058,571","957,184",0,"288,434","2,304,189",2012
706,Per Pupil,,"6,786","6,136",0,"1,849","14,770",2012
707,All Funds,,45.9 ,41.5 ,0.0 ,12.5 ,100.0 ,2012
708,YUMA,LIBERTY J-4,,,,,,2012
709,Amount,,"853,026","707,357",0,0,"1,560,383",2012
710,Per Pupil,,"10,978","9,104",0,0,"20,082",2012
711,All Funds,,54.7 ,45.3 ,0.0 ,0.0 ,100.0 ,2012
712,,CHARTER SCHOOL INSTITUTE,,,,,,2012
713,Amount,,"40,561,158","40,549,832","254,978","6,088,775","87,454,743",2012
714,Per Pupil,,"3,593","3,592",23,539,"7,746",2012
715,All Funds,,46.4 ,46.4 ,0.3 ,7.0 ,100.0 ,2012
716,,GLOBAL VILLAGE CHARTER COLLABORATIVE,,,,,,2012
717,Amount,,0,"1,683,729",0,0,"1,683,729",2012
718,Per Pupil,,,,,,,2012
719,All Funds,,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,2012
720,,EAST CENTRAL BOCES,,,,,,2012
721,Amount,,"4,577,721","3,329,919",0,0,"7,907,641",2012
722,All Funds,,57.9 ,42.1 ,0.0 ,0.0 ,100.0 ,2012
723,,MOUNTAIN BOCES,,,,,,2012
724,Amount,,"5,512,164","6,264,870","13,585","765,363","12,555,983",2012
725,All Funds,,43.9 ,49.9 ,0.1 ,6.1 ,100.0 ,2012
726,,CENTENNIAL BOCES,,,,,,2012
727,Amount,,"2,547,549","8,560,211","248,347","227,142","11,583,249",2012
728,All Funds,,22.0 ,73.9 ,2.1 ,2.0 ,100.0 ,2012
729,,NORTHEAST BOCES,,,,,,2012
730,Amount,,"2,037,971","3,011,006","2,405","86,444","5,137,827",2012
731,All Funds,,39.7 ,58.6 ,0.0 ,1.7 ,100.0 ,2012
732,,PIKES PEAK BOCES,,,,,,2012
733,Amount,,"6,354,151","3,971,419",0,"75,821","10,401,391",2012
734,All Funds,,61.1 ,38.2 ,0.0 ,0.7 ,100.0 ,2012
735,,SAN JUAN BOCES,,,,,,2012
736,Amount,,"3,921,999","4,631,566",0,"207,948","8,761,513",2012
737,All Funds,,44.8 ,52.9 ,0.0 ,2.4 ,100.0 ,2012
738,,SAN LUIS VALLEY BOCES,,,,,,2012
739,Amount,,"1,916,896","2,829,101","311,383",0,"5,057,380",2012
740,All Funds,,37.9 ,55.9 ,6.2 ,0.0 ,100.0 ,2012
741,,SOUTH CENTRAL BOCES,,,,,,2012
742,Amount,,"1,059,706","3,138,114","40,181","171,729","4,409,731",2012
743,All Funds,,24.0 ,71.2 ,0.9 ,3.9 ,100.0 ,2012
744,,SOUTHEASTERN BOCES,,,,,,2012
745,Amount,,"791,766","1,685,263",0,0,"2,477,029",2012
746,All Funds,,32.0 ,68.0 ,0.0 ,0.0 ,100.0 ,2012
747,,NORTHWEST BOCES,,,,,,2012
748,Amount,,"1,301,904","2,100,785",0,"40,888","3,443,577",2012
749,All Funds,,37.8 ,61.0 ,0.0 ,1.2 ,100.0 ,2012
750,,ADAMS COUNTY BOCES,,,,,,2012
751,Amount,,0,"705,524",0,0,"705,524",2012
752,All Funds,,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,2012
753,,RIO BLANCO BOCES,,,,,,2012
754,Amount,,"1,529,135","641,138",0,0,"2,170,273",2012
755,All Funds,,70.5 ,29.5 ,0.0 ,0.0 ,100.0 ,2012
756,,EXPEDITIONARY BOCES,,,,,,2012
757,Amount,,"2,683,142","536,963",0,0,"3,220,105",2012
758,All Funds,,83.3 ,16.7 ,0.0 ,0.0 ,100.0 ,2012
759,,GRAND VALLEY BOCES,,,,,,2012
760,Amount,,"1,151,188","1,419,707","32,936",0,"2,603,831",2012
761,All Funds,,44.2 ,54.5 ,1.3 ,0.0 ,100.0 ,2012
762,,MT EVANS BOCES,,,,,,2012
763,Amount,,"855,174","169,873",0,0,"1,025,047",2012
764,All Funds,,83.4 ,16.6 ,0.0 ,0.0 ,100.0 ,2012
765,,UNCOMPAHGRE BOCES,,,,,,2012
766,Amount,,"385,239","555,408",0,"12,158","952,805",2012
767,All Funds,,40.4 ,58.3 ,0.0 ,1.3 ,100.0 ,2012
768,,SANTA FE TRAIL BOCES,,,,,,2012
769,Amount,,"951,043","1,321,342",0,0,"2,272,385",2012
770,All Funds,,41.9 ,58.1 ,0.0 ,0.0 ,100.0 ,2012
771,,FRONT RANGE BOCES,,,,,,2012
772,Amount,,0,0,0,0,0,2012
773,All Funds,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2012
774,,UTE PASS BOCES,,,,,,2012
775,Amount,,"1,443,516","434,158",0,0,"1,877,674",2012
776,All Funds,,76.9 ,23.1 ,0.0 ,0.0 ,100.0 ,2012
777,DISTRICT/CSI TOTALS,,,,,,,2012
778,Amount,,"4,465,293,340","3,216,042,573","48,790,497","2,227,359,570","9,957,485,980",2012
779,Per Pupil,," 5,461 "," 3,933 ", 60 ," 2,724 "," 12,698 ",2012
780,All Funds,,44.8 ,32.3 ,0.5 ,22.4 ,100.0 ,2012
781,BOCES/COLLABORATIVE TOTALS,,,,,,,2012
782,Amount,,"39,020,267","46,990,096","648,837","1,587,493","88,246,693",2012
783,All Funds,,44.2 ,53.2 ,0.7 ,1.8 ,100.0 ,2012
784,STATE TOTALS,,,,,,,2012
785,Amount,,"4,504,313,607","3,263,032,668","49,439,334","2,228,947,063","10,045,732,673",2012
786,Per Pupil,," 5,509 "," 3,991 ", 60 ," 2,726 "," 12,286 ",2012
787,All Funds,,44.8 ,32.5 ,0.5 ,22.2 ,100.0 ,2012
